temp,16.64,1
temperature,19.29,1
Humidity,83.29,2
temperatura,15.93,1
luz,0,3
sonido,50,4
umidità,31,2
light,0,3
temperature,9.41,1
umidità,77.79,2
sound,62,4
temperature,22.06,1
sound,50,4
relativeHumidity,27,2
temperatura,15.67,1
sound,2.3604782259904e-310,4
lux,2533.54,3
umidade,75.99,2
temperature,17.22,1
luminousFlux,0,3
luminousFlux,333.37,3
sonido,2.3604782259904e-310,4
som,2.3604782259904e-310,4
temperature,22.38,1
light,32917.34,3
som,62.2,4
temperature,16.45,1
temperature,14.25,1
luminousFlux,136699.64,3
noise,2.3604782259904e-310,4
temperature,-41.61,1
luminousFlux,2450.15,3
som,2.3604782259904e-310,4
lux,50993.28,3
temperature,18.25,1
luminousFlux,10549.35,3
umidità,82.98,2
relativeHumidity,200,2
temperature,15.41,1
Humidity,87.17,2
temperature,21.93,1
temperature,16,1
luminousFlux,2.3604782259904e-310,3
temperature,25.67,1
luminousFlux,20231.86,3
luminousFlux,0,3
luz,1366.04,3
temperature,12.06,1
temperature,16.38,1
luminousFlux,2.3604782259904e-310,3
luminousFlux,8404.6,3
temperature,10,1
sound,50,4
temperature,19.61,1
temp,14.12,1
temperature,28.06,1
luz,0,3
light,0.29,3
temperature,10.19,1
umidità,47,2
lux,2.14,3
Humidity,85.6,2
sound,76.5,4
temperature,26.19,1
sound,100,4
relativeHumidity,82.98,2
temperature,-42.96,1
light,0,3
luminousFlux,6502.82,3
umidità,-2.08,2
lux,280.15,3
sound,2.3604782259904e-310,4
umidità,73,2
temperature,-37.16,1
temp,-50,1
light,598.86,3
sound,62,4
light,2186.07,3
sonido,2.3604782259904e-310,4
sound,50,4
umidità,72,2
temperature,16.51,1
temp,22.25,1
luminous,6051.51,3
temperature,19.8,1
temperature,14.96,1
temperatura,-36.32,1
umidità,37,2
temperature,12.64,1
temperature,16.7,1
temperature,-43.22,1
luz,2908.92,3
temperature,20,1
light,10549.35,3
sound,2.3604782259904e-310,4
temperature,21.09,1
umidità,27,2
temperatura,15.8,1
relativeHumidity,73,2
temperature,19.63,1
light,0,3
luminousFlux,0,3
temperature,24.25,1
sonido,51.9,4
temperature,13.87,1
light,2.02,3
umidade,74.59,2
sonido,2.3604782259904e-310,4
luminousFlux,0,3
light,30.12,3
lux,0,3
temp,-26.77,1
sound,58.6,4
temperature,15.03,1
light,0,3
Humidity,86.64,2
relativeHumidity,85,2
temperature,26.25,1
umidità,85.1,2
sound,50,4
sound,50,4
temperature,11.54,1
Humidity,86.64,2
umidità,71.65,2
noise,58,4
luminous,0,3
temperature,14.06,1
umidade,85.6,2
luz,0,3
luminousFlux,12709.81,3
sound,50,4
temperature,12.64,1
temperatura,22.51,1
temperature,20.32,1
temperature,19.29,1
luminousFlux,0,3
lux,6561887.4,3
light,4726.71,3
temperature,9.09,1
relativeHumidity,56,2
temp,205.16,1
lux,9390.27,3
temp,18.51,1
noise,59.1,4
temperature,14.83,1
temperature,14,1
temperature,104.32,1
umidità,43,2
temperature,8.06,1
temperature,-40.12,1
temperature,16,1
sound,50,4
Humidity,83.29,2
temp,-39.7,1
noise,64.7,4
light,0,3
temperature,15.22,1
temperature,223.22,1
umidità,91.89,2
umidade,76.46,2
luz,491.51,3
light,0,3
temperature,16.51,1
temperature,10.19,1
relativeHumidity,77,2
Humidity,-2.08,2
temperature,-36.83,1
light,866.71,3
umidità,200,2
temperature,17.03,1
luz,14520.13,3
temperature,17.53,1
umidità,200,2
umidità,85,2
sound,66.1,4
temperature,16.19,1
light,0,3
umidità,86.05,2
sonido,2.3604782259904e-310,4
temp,16.45,1
temperature,15.16,1
temperature,19.61,1
som,58,4
temperature,64.06,1
sound,71.3,4
temperature,24.19,1
light,0.17,3
temperature,12.96,1
relativeHumidity,200,2
lux,8181.29,3
temperature,15.35,1
relativeHumidity,200,2
sound,50,4
temperature,24.25,1
luminousFlux,5272.43,3
temperature,16.06,1
luminous,0,3
temperature,13.87,1
sonido,62,4
temperature,10.25,1
temperatura,17.35,1
temperature,13.09,1
temperature,2.3604782259904e-310,1
lux,19.48,3
relativeHumidity,73,2
light,4.23,3
temperature,16.96,1
temperature,-50,1
umidità,77,2
temperature,2.3604782259904e-310,1
umidità,66,2
umidità,200,2
sound,50,4
temperature,2.3604782259904e-310,1
sound,53.8,4
sonido,58,4
luminousFlux,24910.76,3
luminous,0,3
luminousFlux,0,3
luminousFlux,50993.28,3
light,8636.68,3
temperature,9.22,1
noise,53.8,4
luminousFlux,2294.25,3
luminousFlux,0,3
temperature,21.09,1
lux,674.62,3
sound,64.7,4
luz,76005.77,3
lux,0,3
luminousFlux,0,3
umidità,200,2
umidità,52,2
temperature,20.12,1
umidità,72,2
light,0,3
sound,56,4
Humidity,76.46,2
temp,15.67,1
light,2.3604782259904e-310,3
temperature,-32.96,1
luminous,42819.9,3
luminous,100.25,3
som,2.3604782259904e-310,4
som,2.3604782259904e-310,4
temperature,6.64,1
som,2.3604782259904e-310,4
luminousFlux,1.9,3
temp,19.74,1
luminousFlux,0,3
relativeHumidity,86,2
temperature,14.64,1
temperature,16.7,1
temperature,11.03,1
light,0,3
luminous,481.66,3
umidità,70,2
light,2.3604782259904e-310,3
som,51.9,4
temperature,14.35,1
luminousFlux,4436.62,3
luminousFlux,7759.28,3
sound,50,4
umidità,82.81,2
sound,82,4
temperature,-46.58,1
umidade,77,2
luminousFlux,8404.6,3
sound,59.1,4
luminousFlux,0,3
temperature,12.45,1
light,0,3
light,2.3604782259904e-310,3
temperature,-30.96,1
noise,50,4
temperature,2.3604782259904e-310,1
temperature,12.96,1
umidità,2.37035722076702e-310,2
umidità,84,2
sound,54.2,4
umidade,71.65,2
temperature,-42.96,1
umidità,77.42,2
temperature,19.35,1
temperature,18.9,1
luminous,0,3
temperature,25.54,1
light,8181.29,3
umidade,74.36,2
temperature,16.38,1
som,70.2,4
lux,3849.61,3
som,50,4
noise,53.8,4
som,2.3604782259904e-310,4
light,129.49,3
relativeHumidity,200,2
temperature,15.74,1
umidade,77,2
som,50,4
lux,2186.07,3
temperature,2.3604782259904e-310,1
umidità,80,2
light,2294.25,3
temperature,15.16,1
temperature,16.19,1
sound,50,4
light,0,3
temperature,10.51,1
temperature,15.93,1
luminousFlux,2.27,3
temperature,24.51,1
sound,50,4
sound,50,4
luz,0,3
luminous,4935.06,3
temperature,26.19,1
Humidity,71.65,2
Humidity,77.97,2
light,836.71,3
temperature,16.7,1
umidità,68,2
temperature,7.22,1
temperature,14.58,1
sonido,58.6,4
sound,50,4
sonido,62.2,4
temperature,16,1
noise,50,4
noise,2.3604782259904e-310,4
temperature,-49.61,1
sonido,66.1,4
umidità,89,2
luminousFlux,0,3
sound,52.5,4
noise,73.1,4
luz,4005.72,3
temperature,14.96,1
temperature,-42.45,1
sound,2.3604782259904e-310,4
umidità,54,2
luz,0,3
luminousFlux,0,3
sound,50,4
temperature,20.06,1
Humidity,2.37035722076702e-310,2
luz,369.73,3
luminousFlux,0,3
umidità,77,2
noise,50,4
noise,2.3604782259904e-310,4
sonido,64.7,4
temperature,15.67,1
umidade,75.99,2
temperature,10.83,1
luminousFlux,2450.15,3
lux,0,3
luz,0,3
temperature,8.83,1
temperature,21.16,1
temperatura,16.06,1
relativeHumidity,89,2
temperature,19.87,1
luminousFlux,171.16,3
temperature,20.95,1
light,931.02,3
temp,9.54,1
lux,0.38,3
umidità,77.97,2
temperature,14.9,1
temperature,15.29,1
temperature,16.7,1
sonido,70.2,4
luminousFlux,1211.64,3
umidità,72,2
temperature,2.3604782259904e-310,1
umidità,47,2
relativeHumidity,70,2
temp,19.54,1
luminousFlux,2.3604782259904e-310,3
temperature,16.45,1
sound,51.3,4
temperature,17.29,1
luminousFlux,13571.66,3
lux,0.39,3
relativeHumidity,46,2
luminousFlux,0,3
luminousFlux,7559.79,3
temperature,14.9,1
temperatura,19.67,1
umidade,81,2
sound,53.8,4
luminousFlux,0,3
light,21059.2,3
temp,16.83,1
temperature,16.45,1
temperatura,14.45,1
umidità,76.46,2
umidità,200,2
temperature,13.61,1
temperature,16.77,1
relativeHumidity,47,2
sound,73.1,4
temperature,15.16,1
luminousFlux,5.2,3
relativeHumidity,68,2
temperature,17.03,1
temperature,28.83,1
noise,50,4
luminous,0,3
som,54.2,4
sound,71.2,4
luz,18014.34,3
temperature,20.45,1
lux,0.5,3
light,0.12,3
lux,1.85,3
luminousFlux,2.3604782259904e-310,3
umidità,75,2
noise,2.3604782259904e-310,4
noise,2.3604782259904e-310,4
luminousFlux,0,3
sound,62.2,4
luminous,1615.31,3
som,67.7,4
temperature,31.35,1
temperatura,11.41,1
sound,71.3,4
temperature,20.77,1
temp,11.09,1
som,79.6,4
temperature,2.3604782259904e-310,1
temperature,10.64,1
umidità,80,2
temperature,15.74,1
sonido,50,4
light,3302.97,3
temperature,17.16,1
temp,20.9,1
temperature,18.51,1
temperature,16.51,1
luminousFlux,5156.48,3
relativeHumidity,69,2
temp,-50,1
sound,71.2,4
temperature,1.29,1
temperature,20.32,1
relativeHumidity,51,2
temperatura,18.38,1
lux,0,3
temperature,16.96,1
temperature,14.19,1
temperature,14,1
sonido,50,4
temperature,15.16,1
sound,2.3604782259904e-310,4
luminousFlux,0,3
light,2759.74,3
Humidity,85.6,2
temperature,-42.7,1
temperature,16.38,1
luminousFlux,234.64,3
sound,50,4
temperature,14.38,1
temperature,14.58,1
light,0,3
umidità,74.59,2
temperature,14.7,1
umidità,63,2
noise,52.5,4
light,5272.43,3
temperatura,209.93,1
temperature,19.87,1
luz,251.72,3
temp,18,1
temperature,14.19,1
Humidity,82.81,2
temperature,22.32,1
som,70.2,4
temperature,14.83,1
temperature,14.96,1
umidità,95.12,2
luz,0,3
temperature,16.32,1
temperature,16.12,1
temperature,10.51,1
som,70.2,4
umidità,77,2
som,64.7,4
lux,0,3
light,2.3604782259904e-310,3
luz,18.05,3
luminous,0,3
luminousFlux,6347.26,3
luminousFlux,0,3
luz,0,3
luminousFlux,0,3
temperature,17.22,1
temperature,20,1
Humidity,87.17,2
umidade,85.1,2
noise,50,4
temperature,14.64,1
light,95834.4,3
temperature,17.93,1
temp,6.77,1
umidade,86.64,2
luz,0,3
lux,17353.01,3
temperature,10.32,1
Humidity,82.81,2
umidità,89,2
temperatura,18.64,1
noise,54.2,4
luminousFlux,2.3604782259904e-310,3
temperature,19.8,1
temperature,18.77,1
temperature,-48.58,1
relativeHumidity,80,2
temperature,11.54,1
umidade,39,2
luminousFlux,0,3
temperature,15.35,1
relativeHumidity,80,2
umidade,95.12,2
luz,18712.68,3
som,2.3604782259904e-310,4
relativeHumidity,54,2
som,2.3604782259904e-310,4
sound,2.3604782259904e-310,4
sonido,50,4
lux,0,3
light,18014.34,3
luminousFlux,0,3
temperature,15.29,1
umidade,89,2
temperature,-50,1
sonido,100,4
temperature,9.87,1
light,13130.62,3
temperature,12.19,1
sonido,50,4
luminousFlux,2.3604782259904e-310,3
luz,0,3
sound,2.3604782259904e-310,4
temperature,16.64,1
temperature,30.25,1
luz,0,3
relativeHumidity,84,2
luminousFlux,1.87,3
relativeHumidity,73,2
temperature,16.38,1
umidità,73,2
temperature,18.58,1
luminousFlux,1.31,3
temp,18.06,1
umidità,78.08,2
relativeHumidity,41,2
temperature,18.06,1
temp,22.51,1
temperature,21.93,1
luz,0,3
luz,9662.31,3
temperature,24.19,1
temperature,14.06,1
sonido,2.3604782259904e-310,4
temperature,17.93,1
luminousFlux,0,3
luminousFlux,2186.07,3
sonido,52.5,4
temperature,17.93,1
temperature,16.77,1
som,82,4
temperature,1.29,1
temperature,22.06,1
temperature,16.12,1
luminousFlux,0,3
luminousFlux,192.53,3
Humidity,74.59,2
noise,2.3604782259904e-310,4
temperature,17.93,1
sound,52.5,4
temperature,16.45,1
luminous,0,3
relativeHumidity,45,2
lux,1403.84,3
umidità,45,2
light,280.15,3
sound,2.3604782259904e-310,4
light,0,3
luminous,0,3
temperature,33.35,1
noise,70.2,4
light,0,3
temperature,2.3604782259904e-310,1
temperature,20.7,1
relativeHumidity,71,2
temp,18.51,1
luminousFlux,0,3
umidade,66,2
luminous,0,3
sonido,73.1,4
luminousFlux,1.38,3
light,0,3
sonido,56,4
relativeHumidity,70,2
temperatura,13.67,1
relativeHumidity,31,2
temperature,18.25,1
temperature,18.64,1
temperature,18.32,1
temperatura,5.93,1
temperature,15.09,1
light,2331.93,3
sound,51.3,4
temperatura,10.32,1
sonido,2.3604782259904e-310,4
luminousFlux,81882.86,3
luminous,88454.49,3
temperature,11.79,1
temperatura,16.12,1
temperature,-32.96,1
umidade,56,2
som,2.3604782259904e-310,4
umidità,73,2
Humidity,85.1,2
umidità,41,2
noise,2.3604782259904e-310,4
sonido,50,4
temperature,22.32,1
luz,0,3
temperature,17.48,1
light,0,3
umidità,46,2
temperature,16.77,1
luz,2117.77,3
temperature,12.83,1
luz,3429.02,3
luz,8877.98,3
som,59.1,4
umidità,85.6,2
relativeHumidity,77.79,2
sound,51.9,4
umidità,95.12,2
temperature,13.09,1
relativeHumidity,89,2
luminousFlux,0,3
temperature,16,1
temperature,16.19,1
temperature,15.5,1
temperature,16,1
lux,19450.79,3
light,1.87,3
sound,70.2,4
temperature,11.03,1
temperatura,15.93,1
light,0,3
noise,2.3604782259904e-310,4
temperature,16.64,1
temperature,19.48,1
som,50,4
light,4726.71,3
umidità,200,2
sonido,2.3604782259904e-310,4
temperature,6.19,1
luminousFlux,0.17,3
noise,76.5,4
luz,11206.76,3
noise,2.3604782259904e-310,4
luminousFlux,3365.18,3
umidità,89,2
umidade,200,2
umidade,200,2
temperature,20.7,1
luz,28.01,3
temperature,15.93,1
temperature,-50,1
luminousFlux,54230.22,3
temperature,11.03,1
temperatura,-41.61,1
som,71.3,4
temperature,16.7,1
temp,16.83,1
luminousFlux,0,3
lux,1243.88,3
luminousFlux,0,3
umidità,39,2
sonido,2.3604782259904e-310,4
noise,2.3604782259904e-310,4
luz,3069.41,3
light,0,3
temperature,18.96,1
relativeHumidity,79.93,2
som,2.3604782259904e-310,4
light,0,3
Humidity,86.05,2
som,2.3604782259904e-310,4
lux,0.1,3
light,0,3
light,7367.49,3
luminousFlux,0,3
temperature,16.25,1
temperature,18.77,1
luminousFlux,21059.2,3
umidità,81,2
sonido,51.3,4
temp,15.67,1
luminous,4.03,3
sound,2.3604782259904e-310,4
temperature,8.83,1
light,697.36,3
sound,70.2,4
umidità,73,2
temp,6.83,1
temperature,-50,1
temperature,18.7,1
luminous,0,3
noise,56,4
temperature,17.81,1
umidade,74.59,2
sonido,2.3604782259904e-310,4
lux,0,3
umidade,73,2
temperature,15.16,1
temperature,20.51,1
luminous,0,3
luminous,179.97,3
temperature,6.38,1
light,5643.11,3
sonido,71.2,4
temp,15.67,1
light,42819.9,3
som,2.3604782259904e-310,4
lux,8181.29,3
sonido,2.3604782259904e-310,4
temperatura,20.06,1
temperature,-32.9,1
sound,50,4
temperature,2.3604782259904e-310,1
temperatura,15.61,1
lux,2961.1,3
temperature,12.06,1
umidità,86.05,2
sonido,50,4
luz,0,3
temperature,18.45,1
temperature,-3.99,1
temperature,-50,1
temperature,7.41,1
umidade,86.05,2
luminousFlux,0,3
umidità,200,2
umidità,42,2
temperature,15.09,1
sound,70.2,4
temperature,14.9,1
temperature,16.58,1
umidità,74.36,2
luminousFlux,0.25,3
luminousFlux,1525.94,3
temperatura,-31.03,1
sonido,50,4
temp,16.32,1
temperature,21.29,1
temperature,10.96,1
temperature,-47.03,1
umidade,89,2
temperature,9.41,1
noise,66.1,4
temperature,9.8,1
luz,0,3
temperature,10,1
temperature,11.3,1
temp,7.16,1
temperature,18.58,1
temperature,-37.16,1
temperature,21.09,1
light,13.3,3
sound,2.3604782259904e-310,4
luminous,0,3
som,50,4
temperature,15.09,1
som,2.3604782259904e-310,4
som,58.6,4
umidità,45,2
luminousFlux,0,3
temperature,21.22,1
umidade,75,2
umidade,21,2
umidità,21,2
noise,50,4
temperature,8.06,1
light,2759.74,3
som,50,4
temperature,25.16,1
temp,-50,1
sound,2.3604782259904e-310,4
sound,50,4
light,57.92,3
temperature,18.38,1
temperature,14.54,1
sound,50,4
relativeHumidity,42,2
temperature,15.16,1
luminous,0.4,3
noise,67.7,4
luminousFlux,0,3
temperatura,6.38,1
umidade,85,2
noise,50,4
umidità,2.37035722076702e-310,2
light,18014.34,3
umidità,84,2
temperature,15.93,1
luminous,1.6,3
temperature,22.51,1
temperature,19.54,1
sound,2.3604782259904e-310,4
temperature,21.54,1
light,0,3
luminousFlux,8.73,3
light,522.6,3
temperature,21.93,1
luminous,0,3
sound,51.9,4
temperatura,15.87,1
luminousFlux,315.36,3
sound,67.7,4
relativeHumidity,52,2
luminous,0,3
temperature,11.8,1
noise,50,4
temperature,8.12,1
som,2.3604782259904e-310,4
sound,50,4
temperature,-39.7,1
temperature,16.96,1
sound,2.3604782259904e-310,4
luminous,0,3
luminousFlux,0,3
temperature,21.03,1
luminous,15030.44,3
luminousFlux,339.65,3
luminousFlux,1569.78,3
umidità,73,2
temperature,22.51,1
temperature,14.38,1
temperature,19.54,1
sound,66.1,4
luz,3561.81,3
lux,0,3
temperature,-42.9,1
lux,1.35,3
luminousFlux,11206.76,3
som,2.3604782259904e-310,4
luminous,0,3
temperature,15.35,1
umidità,86.64,2
temperature,-49.16,1
temperature,16.12,1
luz,2.54,3
luminous,1843.68,3
lux,10241.2,3
temp,15.87,1
umidità,60,2
umidade,200,2
noise,2.3604782259904e-310,4
luminousFlux,10241.2,3
temperature,2.3604782259904e-310,1
relativeHumidity,37,2
light,19450.79,3
temperature,2.3604782259904e-310,1
temperature,14.77,1
luminous,1277.25,3
luminousFlux,2.3604782259904e-310,3
luminousFlux,1.47,3
temperature,16.38,1
temperature,16.58,1
luminousFlux,11.5,3
umidità,89,2
Humidity,-2.08,2
light,0,3
relativeHumidity,84,2
luminousFlux,21936.55,3
temperature,227.8,1
som,50,4
umidade,2.37035722076702e-310,2
sound,58,4
sound,2.3604782259904e-310,4
temperature,17.16,1
temperature,25.54,1
temp,20,1
temperature,-28.83,1
temperature,15.74,1
umidità,91.89,2
luminousFlux,2712.35,3
luminousFlux,0,3
som,50,4
temperature,19.41,1
noise,2.3604782259904e-310,4
temperature,2.3604782259904e-310,1
umidade,82.81,2
temperature,14.06,1
light,2.3604782259904e-310,3
umidade,73,2
light,0.01,3
light,1763,3
som,50,4
sonido,54.2,4
temperatura,9.93,1
temperature,6.7,1
temperature,12.96,1
temperature,7.48,1
temperature,18.77,1
temperature,9.93,1
luminous,0,3
sonido,50,4
temp,20.9,1
umidità,71,2
umidade,76.46,2
light,0,3
temperatura,17.87,1
temperature,2.3604782259904e-310,1
temperatura,16.58,1
temperature,19.35,1
sound,79.6,4
temperature,-49.41,1
temperature,16.25,1
temperature,15.74,1
luminousFlux,1026.75,3
temperature,15.22,1
noise,2.3604782259904e-310,4
noise,79.6,4
temperature,-23.48,1
luz,9662.31,3
temp,11.61,1
light,0.54,3
temperature,2.3604782259904e-310,1
temperature,-48.83,1
umidade,41,2
umidità,85,2
lux,2370.45,3
temperature,17.87,1
temperature,13.22,1
light,1.9,3
temperature,9.16,1
som,2.3604782259904e-310,4
luminousFlux,0,3
light,3183.23,3
light,0,3
light,0,3
relativeHumidity,49,2
temperature,16.19,1
temperature,16.96,1
temperature,20.7,1
temperature,20,1
temperature,223.22,1
noise,70.2,4
umidità,56,2
lux,18014.34,3
luminousFlux,0,3
luz,10549.35,3
umidade,-2.08,2
luminousFlux,0,3
luminousFlux,3630.89,3
temperature,19.87,1
temperature,2.3604782259904e-310,1
temperatura,-46.19,1
temperature,10.19,1
temp,11.09,1
umidade,63,2
Humidity,75.99,2
temperature,21.93,1
temperature,19.87,1
light,0,3
temperature,21.16,1
Humidity,71.65,2
lux,54230.22,3
temperatura,15.93,1
noise,50,4
temperature,16.64,1
luminousFlux,167490.28,3
temperature,11.03,1
temperatura,15.09,1
umidità,51,2
temperature,15.93,1
temperature,-3.99,1
luminousFlux,2450.15,3
noise,82,4
light,780.6,3
temperature,13.54,1
luminousFlux,190.91,3
temp,18,1
umidità,70,2
temperatura,16.38,1
noise,50,4
temperatura,14.19,1
luminousFlux,0.17,3
luminous,66.14,3
luminousFlux,4530.49,3
